(1, 5) x (0, 6) => 1
(0, 6) x (1, 5) => 0
(1, 5) x (0, 5) => 0
(3, 7) x (0, 5) => 0
(3, 7) x (5, 0) => 1
(5, 0) x (3, 7) => 0
(3, 7) x (4, 1) => 1
(4, 1) x (3, 7) => 0
(3, 7) x (4, 0) => 1
(4, 0) x (3, 7) => 0
(3, 7) x (3, 5) => 0
(1, 7) x (0, 5) => 0
(1, 7) x (5, 0) => 1
(5, 0) x (1, 7) => 0
(1, 7) x (4, 1) => 1
(4, 1) x (1, 7) => 0
(1, 7) x (4, 0) => 1
(4, 0) x (1, 7) => 0
(1, 7) x (3, 7) => 1
(3, 7) x (1, 7) => 0
(1, 7) x (3, 5) => 1
(3, 5) x (1, 7) => 0
(1, 7) x (3, 4) => 1
(3, 4) x (1, 7) => 0
(1, 7) x (2, 5) => 1
(2, 5) x (1, 7) => 0
(1, 7) x (0, 6) => 0
(0, 7) x (0, 5) => 0
(0, 7) x (5, 0) => 1
(5, 0) x (0, 7) => 0
(0, 7) x (4, 1) => 1
(4, 1) x (0, 7) => 0
(0, 7) x (4, 0) => 1
(4, 0) x (0, 7) => 0
(0, 7) x (3, 7) => 1
(3, 7) x (0, 7) => 0
(0, 7) x (3, 5) => 1
(3, 5) x (0, 7) => 0
(0, 7) x (3, 4) => 1
(3, 4) x (0, 7) => 0
(0, 7) x (2, 5) => 1
(2, 5) x (0, 7) => 0
(0, 7) x (1, 7) => 1
(1, 7) x (0, 7) => 0
(0, 7) x (0, 6) => 0
(2, 7) x (0, 5) => 0
(2, 7) x (5, 0) => 1
(5, 0) x (2, 7) => 0
(2, 7) x (4, 1) => 1
(4, 1) x (2, 7) => 0
(2, 7) x (4, 0) => 1
(4, 0) x (2, 7) => 0
(2, 7) x (3, 7) => 1
(3, 7) x (2, 7) => 0
(2, 7) x (3, 5) => 0
(3, 6) x (0, 5) => 0
(3, 6) x (5, 0) => 1
(5, 0) x (3, 6) => 0
(3, 6) x (4, 1) => 1
(4, 1) x (3, 6) => 0
(3, 6) x (4, 0) => 1
(4, 0) x (3, 6) => 0
(3, 6) x (3, 7) => 1
(3, 7) x (3, 6) => 0
(3, 6) x (2, 7) => 0
(2, 6) x (0, 5) => 0
(2, 6) x (5, 0) => 1
(5, 0) x (2, 6) => 0
(2, 6) x (4, 1) => 1
(4, 1) x (2, 6) => 0
(2, 6) x (4, 0) => 1
(4, 0) x (2, 6) => 0
(2, 6) x (3, 7) => 1
(3, 7) x (2, 6) => 0
(2, 6) x (3, 6) => 1
(3, 6) x (2, 6) => 0
(2, 6) x (2, 7) => 1
(2, 7) x (2, 6) => 0
(2, 6) x (3, 5) => 0
(1, 6) x (0, 5) => 0
(1, 6) x (5, 0) => 1
(5, 0) x (1, 6) => 0
(1, 6) x (4, 1) => 1
(4, 1) x (1, 6) => 0
(1, 6) x (4, 0) => 1
(4, 0) x (1, 6) => 0
(1, 6) x (3, 7) => 1
(3, 7) x (1, 6) => 0
(1, 6) x (3, 6) => 1
(3, 6) x (1, 6) => 0
(1, 6) x (2, 7) => 1
(2, 7) x (1, 6) => 0
(1, 6) x (2, 6) => 1
(2, 6) x (1, 6) => 0
(1, 6) x (3, 5) => 1
(3, 5) x (1, 6) => 0
(1, 6) x (3, 4) => 1
(3, 4) x (1, 6) => 0
(1, 6) x (2, 5) => 1
(2, 5) x (1, 6) => 0
(1, 6) x (1, 7) => 1
(1, 7) x (1, 6) => 0
(1, 6) x (0, 7) => 0
(1, 4) x (0, 5) => 0
(1, 4) x (5, 0) => 1
(5, 0) x (1, 4) => 0
(1, 4) x (4, 1) => 1
(4, 1) x (1, 4) => 0
(1, 4) x (4, 0) => 1
(4, 0) x (1, 4) => 0
(1, 4) x (3, 7) => 1
(3, 7) x (1, 4) => 0
(1, 4) x (3, 6) => 1
(3, 6) x (1, 4) => 0
(1, 4) x (2, 7) => 1
(2, 7) x (1, 4) => 0
(1, 4) x (2, 6) => 1
(2, 6) x (1, 4) => 0
(1, 4) x (3, 5) => 1
(3, 5) x (1, 4) => 0
(1, 4) x (3, 4) => 1
(3, 4) x (1, 4) => 0
(1, 4) x (2, 5) => 1
(2, 5) x (1, 4) => 0
(1, 4) x (1, 7) => 1
(1, 7) x (1, 4) => 0
(1, 4) x (1, 6) => 1
(1, 6) x (1, 4) => 0
(1, 4) x (0, 7) => 1
(0, 7) x (1, 4) => 0
(1, 4) x (0, 6) => 1
(0, 6) x (1, 4) => 0
(1, 4) x (1, 5) => 1
(1, 5) x (1, 4) => 0
(1, 4) x (0, 5) => 0
(2, 4) x (0, 5) => 0
(2, 4) x (5, 0) => 1
(5, 0) x (2, 4) => 0
(2, 4) x (4, 1) => 1
(4, 1) x (2, 4) => 0
(2, 4) x (4, 0) => 1
(4, 0) x (2, 4) => 0
(2, 4) x (3, 7) => 1
(3, 7) x (2, 4) => 0
(2, 4) x (3, 6) => 1
(3, 6) x (2, 4) => 0
(2, 4) x (2, 7) => 1
(2, 7) x (2, 4) => 0
(2, 4) x (2, 6) => 1
(2, 6) x (2, 4) => 0
(2, 4) x (3, 5) => 1
(3, 5) x (2, 4) => 0
(2, 4) x (3, 4) => 1
(3, 4) x (2, 4) => 0
(2, 4) x (2, 5) => 1
(2, 5) x (2, 4) => 0
(2, 4) x (1, 7) => 0
(7, 0) x (6, 0) => 0
(7, 0) x (6, 0) => 0
(6, 1) x (6, 0) => 0
(6, 1) x (7, 0) => 1
(7, 0) x (6, 1) => 0
(6, 1) x (6, 0) => 0
(7, 1) x (6, 0) => 0
(7, 1) x (7, 0) => 0
(4, 2) x (6, 0) => 1
(6, 0) x (4, 2) => 0
(7, 4) x (4, 2) => 0
(7, 4) x (7, 1) => 0
(6, 4) x (4, 2) => 0
(6, 4) x (7, 4) => 1
(7, 4) x (6, 4) => 0
(6, 4) x (7, 1) => 0
(5, 4) x (4, 2) => 0
(5, 4) x (7, 4) => 1
(7, 4) x (5, 4) => 0
(5, 4) x (6, 4) => 1
(6, 4) x (5, 4) => 0
(5, 4) x (7, 1) => 0
(4, 5) x (4, 2) => 0
(4, 5) x (7, 4) => 1
(7, 4) x (4, 5) => 0
(4, 5) x (6, 4) => 1
(6, 4) x (4, 5) => 0
(4, 5) x (5, 4) => 1
(5, 4) x (4, 5) => 0
(4, 5) x (7, 1) => 0
(5, 5) x (4, 2) => 0
(5, 5) x (7, 4) => 1
(7, 4) x (5, 5) => 0
(5, 5) x (6, 4) => 1
(6, 4) x (5, 5) => 0
(5, 5) x (5, 4) => 0
(6, 5) x (4, 2) => 0
(6, 5) x (7, 4) => 1
(7, 4) x (6, 5) => 0
(6, 5) x (6, 4) => 0
(7, 5) x (4, 2) => 0
(7, 5) x (7, 4) => 0
(4, 4) x (4, 2) => 0
(4, 4) x (7, 5) => 1
(7, 5) x (4, 4) => 0
(4, 4) x (7, 4) => 1
(7, 4) x (4, 4) => 0
(4, 4) x (6, 5) => 1
(6, 5) x (4, 4) => 0
(4, 4) x (6, 4) => 1
(6, 4) x (4, 4) => 0
(4, 4) x (5, 5) => 1
(5, 5) x (4, 4) => 0
(4, 4) x (5, 4) => 1
(5, 4) x (4, 4) => 0
(4, 4) x (4, 5) => 1
(4, 5) x (4, 4) => 0
(4, 4) x (7, 1) => 0
(7, 3) x (4, 2) => 0
(7, 3) x (7, 5) => 1
(7, 5) x (7, 3) => 0
(7, 3) x (7, 4) => 1
(7, 4) x (7, 3) => 0
(7, 3) x (6, 5) => 1
(6, 5) x (7, 3) => 0
(7, 3) x (6, 4) => 1
(6, 4) x (7, 3) => 0
(7, 3) x (5, 5) => 1
(5, 5) x (7, 3) => 0
(7, 3) x (5, 4) => 1
(5, 4) x (7, 3) => 0
(7, 3) x (4, 5) => 1
(4, 5) x (7, 3) => 0
(7, 3) x (4, 4) => 1
(4, 4) x (7, 3) => 0
(7, 3) x (7, 1) => 0
(6, 3) x (4, 2) => 0
(6, 3) x (7, 5) => 1
(7, 5) x (6, 3) => 0
(6, 3) x (7, 4) => 1
(7, 4) x (6, 3) => 0
(6, 3) x (6, 5) => 1
(6, 5) x (6, 3) => 0
(6, 3) x (6, 4) => 1
(6, 4) x (6, 3) => 0
(6, 3) x (5, 5) => 1
(5, 5) x (6, 3) => 0
(6, 3) x (5, 4) => 1
(5, 4) x (6, 3) => 0
(6, 3) x (4, 5) => 1
(4, 5) x (6, 3) => 0
(6, 3) x (4, 4) => 1
(4, 4) x (6, 3) => 0
(6, 3) x (7, 3) => 1
(7, 3) x (6, 3) => 0
(6, 3) x (7, 1) => 0
(5, 3) x (4, 2) => 0
(5, 3) x (7, 5) => 1
(7, 5) x (5, 3) => 0
(5, 3) x (7, 4) => 1
(7, 4) x (5, 3) => 0
(5, 3) x (6, 5) => 1
(6, 5) x (5, 3) => 0
(5, 3) x (6, 4) => 1
